No.,Sentence,StemWords,MatchWords,Use
25,These Guidelines have been  prepared in the context of  the  Child Online Protection (COP)1  Initiative in order to establish  the foundations for a safe and  secure cyberworld not only for  today’s children but also for future  generations.,"['guidelin', 'prepar', 'context', 'child', 'onlin', 'protect', 'cop', 'initi', 'order', 'establish', 'foundat', 'safe', 'secur', 'cyberworld', 'today', 'children', 'also', 'futur', 'gener']",{'secur'},Y
26,"These Guidelines are  meant to act as a blueprint, which  can be adapted and used in a way  that is consistent with national or  local customs and laws.","['guidelin', 'meant', 'act', 'blueprint', 'adapt', 'use', 'way', 'consist', 'nation', 'local', 'custom', 'law']",set(),N
27,"While older children will be able  to grasp the ideas in the manual  directly, younger children will  need support to understand the  context fully.","['older', 'children', 'abl', 'grasp', 'idea', 'manual', 'directli', 'younger', 'children', 'need', 'support', 'understand', 'context', 'fulli']",set(),N
28,"Parents, teach- ers, caregivers and other adults  supporting children to use these  guidelines should remember that  while broad guidelines can be  1  www.itu.int/cop                                                                                                                                                 Getting started   useful, it should never be forgot- ten that, in the end, each child  is different.","['parent', 'er', 'caregiv', 'adult', 'support', 'children', 'use', 'guidelin', 'rememb', 'broad', 'guidelin', 'get', 'start', 'use', 'never', 'ten', 'end', 'child', 'differ']",set(),N
29,Each child’s specific  needs should be given individual  consideration.,"['child', 'specif', 'need', 'given', 'individu', 'consider']",set(),N
30,Moreover there  are many different local legal and  cultural factors which could have  an important bearing on how  these Guidelines might be used or  interpreted in any given country  or region.,"['moreov', 'mani', 'differ', 'local', 'legal', 'cultur', 'factor', 'could', 'import', 'bear', 'guidelin', 'might', 'use', 'interpret', 'given', 'countri', 'region']",set(),N
31,Moreover certain subjects con- tained in this manual can be  sensitive such as online sexual ex- ploitation and abuse of  children.,"['moreov', 'certain', 'subject', 'tain', 'manual', 'sensit', 'onlin', 'sexual', 'ploitat', 'abus', 'children']",set(),N
32,Working with younger children on  this issue should be approached  carefully.,"['work', 'younger', 'children', 'issu', 'approach', 'care']",{'work'},Y
33,It is important that the  explanations and the messages  you give to children about such  issues are appropriate to their  age and development.,"['import', 'explan', 'messag', 'give', 'children', 'issu', 'appropri', 'age', 'develop']",{'develop'},Y
34,Encourage  children to ask questions and state  their opinions.,"['encourag', 'children', 'ask', 'question', 'state', 'opinion']",set(),N
35,Why are these Guidelines  important?,"['guidelin', 'import']",set(),N
36,"The information society in which  today’s children and young people  are growing up, offers an instant  digital world through the click  of  a mouse.","['inform', 'societi', 'today', 'children', 'young', 'peopl', 'grow', 'offer', 'instant', 'digit', 'world', 'click', 'mous']",{'inform'},Y
37,An unprecedented  level of  services and information  is accessible through a computer  or a mobile device with Internet  access.,"['unpreced', 'level', 'servic', 'inform', 'access', 'comput', 'mobil', 'devic', 'internet', 'access']","{'internet', 'inform', 'access', 'devic'}",Y
38,The barriers associated  with the cost of these devices and  access to the Internet are dimin- ishing rapidly.,"['barrier', 'associ', 'cost', 'devic', 'access', 'internet', 'ish', 'rapidli']","{'internet', 'access', 'devic'}",Y
39,All these technical  developments provide children  and young people with unparal- leled opportunities to explore  new frontiers and meet people  from faraway places.,"['technic', 'develop', 'provid', 'children', 'young', 'peopl', 'lele', 'opportun', 'explor', 'new', 'frontier', 'meet', 'peopl', 'faraway', 'place']",{'develop'},Y
40,Children and  young people are truly becoming  digital citizens in an online world  that has no borders or frontiers.,"['children', 'young', 'peopl', 'truli', 'becom', 'digit', 'citizen', 'onlin', 'world', 'border', 'frontier']",set(),N
41,"Guidelines for Children and Young People2  www.itu.int/copGuidelines for Children and Young People3  More often than not, this is a  positive and educational experi- ence: one that assists  younger generations in better  understanding both the  differences and commonalities  of  the people of  the world.","['guidelin', 'children', 'young', 'peopl', 'children', 'young', 'peopl', 'often', 'posit', 'educ', 'enc', 'one', 'assist', 'younger', 'gener', 'better', 'understand', 'differ', 'common', 'peopl', 'world']",set(),N
42,"However, children and young  people also need to be aware of   some of  the potentially negative  aspects of  the technologies.","['howev', 'children', 'young', 'peopl', 'also', 'need', 'awar', 'potenti', 'neg', 'aspect', 'technolog']",{'technolog'},Y
43,"Harmful activities can include  bullying and harassment, identity  theft and online abuse (such  as children seeing harmful and  illegal content, or being exposed  to grooming for sexual purposes,  or the production, distribution  and collection of  child abuse  material).","['harm', 'activ', 'includ', 'bulli', 'harass', 'ident', 'theft', 'onlin', 'abus', 'children', 'see', 'harm', 'illeg', 'content', 'expos', 'groom', 'sexual', 'purpos', 'product', 'distribut', 'collect', 'child', 'abus', 'materi']",{'includ'},Y
44,"These are all threats to children  and young people’s well being  and a challenge that must be  addressed by all stakeholders,  including children themselves.","['threat', 'children', 'young', 'peopl', 'well', 'challeng', 'must', 'address', 'stakehold', 'includ', 'children']",{'includ'},Y
45,"Whilst all providers of  online  services should do whatever they   can at a technical level to make  the Internet as safe as it can be  for children and young people,  the first and best form of  defence  in protecting YOU is making  you aware of  what can happen  online and make you understand  that there is always a solution to a  problem that you may encounter  online.","['whilst', 'provid', 'onlin', 'servic', 'whatev', 'technic', 'level', 'make', 'internet', 'safe', 'children', 'young', 'peopl', 'first', 'best', 'form', 'defenc', 'protect', 'make', 'awar', 'happen', 'onlin', 'make', 'understand', 'alway', 'solut', 'problem', 'may', 'encount', 'onlin']",{'internet'},Y
46,Empowering children and  young people through education  and awareness raising is therefore  of  paramount importance.,"['empow', 'children', 'young', 'peopl', 'educ', 'awar', 'rais', 'therefor', 'paramount', 'import']",set(),N
47,"Moreover there is now a substan- tial body of  international com- mitments, law and international  instruments which underpin and  in many cases mandate action to  protect children both generally,  and also specifically in relation to  the Internet.","['moreov', 'tial', 'bodi', 'intern', 'mitment', 'law', 'intern', 'instrument', 'underpin', 'mani', 'case', 'mandat', 'action', 'protect', 'children', 'gener', 'also', 'specif', 'relat', 'internet']","{'internet', 'intern'}",Y
48,"Those commitments,  laws and instruments form the  basis of  these Guidelines.","['commit', 'law', 'instrument', 'form', 'basi', 'guidelin']",set(),N
49,"The United Nation’s Convention  of  the Rights of  the Child  (CRC)2 and specifically the  outcomes of  The World Summit   on the Information Society  (WSIS) (2003-2005)3, WSIS+10  High Level Event Outcome  Documents (2014)4 and the  outcomes of  the United Nations  General Assembly Overall  Review of the Implementation  of  the WSIS Outcomes (2015)5  recognize the needs of children  and young people to be protected  in cyberspace.","['unit', 'nation', 'convent', 'right', 'child', 'crc', 'specif', 'outcom', 'world', 'summit', 'inform', 'societi', 'wsi', 'high', 'level', 'event', 'outcom', 'document', 'outcom', 'unit', 'nation', 'gener', 'assembl', 'overal', 'review', 'implement', 'wsi', 'outcom', 'recogn', 'need', 'children', 'young', 'peopl', 'protect', 'cyberspac']","{'implement', 'inform'}",Y
50,"The Sustainable  Development Goals (SDGs)6  adopted by the United Nations in  2015 further obligates countries  to work towards ending all  forms of  abuse, exploitation  and violence affecting children  and young people by 2030.","['sustain', 'develop', 'goal', 'sdg', 'adopt', 'unit', 'nation', 'oblig', 'countri', 'work', 'toward', 'end', 'form', 'abus', 'exploit', 'violenc', 'affect', 'children', 'young', 'peopl']","{'work', 'develop'}",Y
51,This  includes any kind of  abuse and  exploitation faced by children and  young people online.,"['includ', 'kind', 'abus', 'exploit', 'face', 'children', 'young', 'peopl', 'onlin']",{'includ'},Y
52,"Through these Guidelines, the  COP Initiative calls upon all  stakeholders, including children  and young people, to promote  the adoption of  policies and  strategies that will protect children  in cyberspace and provide safer  access to all the extraordinary  opportunities and resources that  are available online.","['guidelin', 'cop', 'initi', 'call', 'upon', 'stakehold', 'includ', 'children', 'young', 'peopl', 'promot', 'adopt', 'polici', 'strategi', 'protect', 'children', 'cyberspac', 'provid', 'safer', 'access', 'extraordinari', 'opportun', 'resourc', 'avail', 'onlin']","{'includ', 'access'}",Y
53,"It is hoped  that this will not only lead to  the building of  a more inclusive  information society, but also  enable countries to meet their  obligations towards protecting  and realizing the rights of   children as stated in the CRC, the  WSIS Outcomes Document and  now in the SDGs.","['hope', 'lead', 'build', 'inclus', 'inform', 'societi', 'also', 'enabl', 'countri', 'meet', 'oblig', 'toward', 'protect', 'realiz', 'right', 'children', 'state', 'crc', 'wsi', 'outcom', 'document', 'sdg']",{'inform'},Y
54,"2  http://www.unicef.org/crc/ 3  http://www.itu.int/wsis/outcome/booklet.pdf 4  http://www.itu.int/net/wsis/implementation/2014/forum/inc/doc/outcome/362828V2E.pdf 5  http://unpan3.un.org/wsis10/ 6  http://www.wvi.org/united-nations-and-global-engagement/publication/child-friendly-version-proposed-     post-2015-goals  Guidelines for Children and Young People4  www.itu.int/copGuidelines for Children and Young People5  Background   Online technologies present many  possibilities to communicate,  learn new skills, be creative and  contribute to establishing a better  society for all, but often they  also bring new risks e.g.","['http', 'http', 'http', 'http', 'http', 'guidelin', 'children', 'young', 'peopl', 'children', 'young', 'peopl', 'background', 'onlin', 'technolog', 'present', 'mani', 'possibl', 'commun', 'learn', 'new', 'skill', 'creativ', 'contribut', 'establish', 'better', 'societi', 'often', 'also', 'bring', 'new', 'risk']",{'technolog'},Y
55,"they can  expose children and young people  to potential dangers like illegal  content, viruses, harassment (e.g.","['expos', 'children', 'young', 'peopl', 'potenti', 'danger', 'like', 'illeg', 'content', 'virus', 'harass']",set(),N
56,"in chat rooms), the misuse of  personal data or grooming for  sexual purposes.","['chat', 'room', 'misus', 'person', 'data', 'groom', 'sexual', 'purpos']",set(),N
57,There is no silver  bullet solution to protect children  and young people online.,"['silver', 'bullet', 'solut', 'protect', 'children', 'young', 'peopl', 'onlin']",set(),N
58,"This is a  global issue that requires a global  response from all segments of   society, including children and  young people themselves.","['global', 'issu', 'requir', 'global', 'respons', 'segment', 'societi', 'includ', 'children', 'young', 'peopl']","{'includ', 'requir'}",Y
59,"Recognising the grave dangers  that may face children and  young people in cyberspace, the  international community has  made a number of  agreements  and laws that protect children   and young people from any  kind of  harm online.","['recognis', 'grave', 'danger', 'may', 'face', 'children', 'young', 'peopl', 'cyberspac', 'intern', 'commun', 'made', 'number', 'agreement', 'law', 'protect', 'children', 'young', 'peopl', 'kind', 'harm', 'onlin']",{'intern'},Y
60,"While  these international instruments  recognise that governments are  foremost responsible to take  action to keep children and  young people safe in relation to  the Internet, they also recognise  the important role children and  young people can play in keeping  themselves and other children  safe online.","['intern', 'instrument', 'recognis', 'govern', 'foremost', 'respons', 'take', 'action', 'keep', 'children', 'young', 'peopl', 'safe', 'relat', 'internet', 'also', 'recognis', 'import', 'role', 'children', 'young', 'peopl', 'play', 'keep', 'children', 'safe', 'onlin']","{'internet', 'intern'}",Y
61,"The CRC, approved by the United  Nations in 1989, is the most  important and significant legal  tool in the defence and promotion  of  children and young people’s  rights.","['crc', 'approv', 'unit', 'nation', 'import', 'signific', 'legal', 'tool', 'defenc', 'promot', 'children', 'young', 'peopl', 'right']",set(),N
62,"The CRC recognises the  human rights of  all children in  all parts of  the world, including  children’s right to be protected  from any kind of  violence and  harm, including in cyberspace.","['crc', 'recognis', 'human', 'right', 'children', 'part', 'world', 'includ', 'children', 'right', 'protect', 'kind', 'violenc', 'harm', 'includ', 'cyberspac']",{'includ'},Y
63,It  also recognises children’s right to   Guidelines for Children and Young People1.,"['also', 'recognis', 'children', 'right', 'guidelin', 'children', 'young']",set(),N
64,6  participate in keeping themselves  and others safe.,"['particip', 'keep', 'other', 'safe']",set(),N
65,The CRC is also  the most universally accepted  convention in history.,"['crc', 'also', 'univers', 'accept', 'convent', 'histori']",set(),N
66,This means  most governments agree to fulfill  the rights that are set out in the  CRC.,"['mean', 'govern', 'agre', 'fulfil', 'right', 'set', 'crc']",set(),N
67,"Further, the WSIS which was  held in two phases in Geneva  (from 10 to 12 December 2003)  and in Tunis (from 16 to 18  November 2005) concluded  with the approval of  the WSIS  Outcome Documents which  made a bold commitment “to  build a people-centred, inclusive  and development oriented  information society, where  everyone can create, access,  utilize and share information and  knowledge.”   At WSIS, ITU was entrusted  by leaders of  the international  community with Action Line  C5: “building confidence and  security in the use of ICTs”.","['wsi', 'held', 'two', 'phase', 'geneva', 'decemb', 'tuni', 'novemb', 'conclud', 'approv', 'wsi', 'outcom', 'document', 'made', 'bold', 'commit', 'build', 'inclus', 'develop', 'orient', 'inform', 'societi', 'everyon', 'creat', 'access', 'util', 'share', 'inform', 'wsi', 'itu', 'entrust', 'leader', 'intern', 'commun', 'action', 'line', 'build', 'confid', 'secur', 'use', 'ict']","{'inform', 'intern', 'develop', 'secur', 'access'}",Y
68,The  WSIS outcomes also specifically  recognized the needs of children   and young people and their  protection in cyberspace.,"['wsi', 'outcom', 'also', 'specif', 'recogn', 'need', 'children', 'young', 'peopl', 'protect', 'cyberspac']",set(),N
69,The  Tunis Commitment recognized  “the role of  ICTs in the  protection of  children and in  enhancing the development of   children” as well as the need to  “strengthen action to protect  children from abuse and defend  their rights in the context of  ICTs”.,"['tuni', 'commit', 'recogn', 'role', 'ict', 'protect', 'children', 'enhanc', 'develop', 'children', 'well', 'need', 'strengthen', 'action', 'protect', 'children', 'abus', 'defend', 'right', 'context', 'ict']",{'develop'},Y
70,The year 2015 marks the 10th  anniversary of  WSIS.,"['year', 'mark', 'anniversari', 'wsi']",set(),N
71,On this  occasion the UN General  Assembly is all set to evaluate  the progress made by WSIS and  define its next steps.,"['occas', 'un', 'gener', 'assembl', 'set', 'evalu', 'progress', 'made', 'wsi', 'defin', 'next', 'step']",set(),N
72,"To this  end, the WSIS+10 High-Level  Event (that took place in Geneva  in 2014) was organized as an  extended version of  the WSIS  Forum.","['end', 'event', 'took', 'place', 'geneva', 'organ', 'extend', 'version', 'wsi', 'forum']",{'organ'},Y
73,"The High Level Event  addressed the progress made  in the implementation of  the  WSIS outcomes (2003 and 2005)  especially related to the Action  Lines, and developed proposals  on a new vision beyond 2015.   www.itu.int/copGuidelines for Children and Young People7  inequality and injustice and tackle  climate change by 2030.","['high', 'level', 'event', 'address', 'progress', 'made', 'implement', 'wsi', 'outcom', 'especi', 'relat', 'action', 'line', 'develop', 'propos', 'new', 'vision', 'beyond', 'children', 'young', 'peopl', 'inequ', 'injustic', 'tackl', 'climat', 'chang']","{'implement', 'develop'}",Y
74,"These  goals build upon the Millennium  Development Goals (MDGs),  which will expire at the end of   2015.","['goal', 'build', 'upon', 'millennium', 'develop', 'goal', 'mdg', 'expir', 'end']",{'develop'},Y
75,"Target 16.2 of the SDGs  says that abuse, exploitation,  trafficking and all forms of   violence and torture against  children and young people must  end by 2030.","['target', 'sdg', 'say', 'abus', 'exploit', 'traffick', 'form', 'violenc', 'tortur', 'children', 'young', 'peopl', 'must', 'end']",set(),N
76,This includes any  kind of  abuse and exploitation  faced by children and young  people online.,"['includ', 'kind', 'abus', 'exploit', 'face', 'children', 'young', 'peopl', 'onlin']",{'includ'},Y
77,The States are now  further obligated to work towards  making cyberspace safe for  children and young people.,"['state', 'oblig', 'work', 'toward', 'make', 'cyberspac', 'safe', 'children', 'young', 'peopl']",{'work'},Y
78,The WSIS+10 High Level  Event Outcome Documents7  revised the text of the Action  Line C5 while recognizing the  importance of  the Child Online  Protection (COP) Initiative and  youth empowerment.,"['high', 'level', 'event', 'outcom', 'revis', 'text', 'action', 'line', 'recogn', 'import', 'child', 'onlin', 'protect', 'cop', 'initi', 'youth', 'empower']",set(),N
79,"It states,  “Ensure special emphasis for  protection and empowerment  of  children online.","['state', 'ensur', 'special', 'emphasi', 'protect', 'empower', 'children', 'onlin']",set(),N
80,"In this  regard, governments and other  stakeholders should work together  to help all enjoy the benefits  of  ICTs in a safe and secure  environment.” The document  further highlights priority  areas to be addressed in the  implementation of  WSIS beyond  2015.","['regard', 'govern', 'stakehold', 'work', 'togeth', 'help', 'enjoy', 'benefit', 'ict', 'safe', 'secur', 'document', 'highlight', 'prioriti', 'area', 'address', 'implement', 'wsi', 'beyond']","{'secur', 'work', 'implement'}",Y
81,"With regard to children’s  online security it emphasises,  “Promoting a culture of  online  security and safety, empowering  users, and encouraging national,  regional and international  cybersecurity strategies to protect  users, including children”.","['regard', 'children', 'onlin', 'secur', 'emphasis', 'promot', 'cultur', 'onlin', 'secur', 'safeti', 'empow', 'user', 'encourag', 'nation', 'region', 'intern', 'cybersecur', 'strategi', 'protect', 'user', 'includ', 'children']","{'secur', 'includ', 'intern', 'cybersecur'}",Y
82,"Further the Council of  Europe  Convention on Protection  of  Children against Sexual  Exploitation and Sexual Abuse,  adopted in 2007 (also known  as the Lanzarote Convention)  focuses on preventing, protecting  and prosecuting the sexual  exploitation and abuse of   children.","['council', 'europ', 'convent', 'protect', 'children', 'sexual', 'exploit', 'sexual', 'abus', 'adopt', 'also', 'known', 'lanzarot', 'convent', 'focus', 'prevent', 'protect', 'prosecut', 'sexual', 'exploit', 'abus', 'children']",set(),N
83,It strongly criminalises  of  all kinds of  sexual offences  against children including child  pornography.,"['strongli', 'criminalis', 'kind', 'sexual', 'offenc', 'children', 'includ', 'child', 'pornographi']",{'includ'},Y
84,The global community of   children and young people further  stated in the Outcome Document  of  the World Congress III against  Sexual Exploitation of  Children  and Adolescents held in Brazil  in 20088 the following: “We ask  for strong cyber safety rules  which are well propagated on   both the websites and within the  communities.,"['global', 'commun', 'children', 'young', 'peopl', 'state', 'outcom', 'document', 'world', 'congress', 'iii', 'sexual', 'exploit', 'children', 'adolesc', 'held', 'brazil', 'follow', 'ask', 'strong', 'cyber', 'safeti', 'rule', 'well', 'propag', 'websit', 'within', 'commun']",{'cyber'},Y
85,"To this end we call  for the increased development of   children’s, teachers’, parents’ and  family manuals which address the  threats of  the Internet in addition  to providing supplemental  information about Sexual  Exploitation of  Children.”  The African Union has also  adopted the Africa Cyber Security  Convention in 2014, which  highlights ways to address child  pornography in the region.","['end', 'call', 'increas', 'develop', 'children', 'teacher', 'parent', 'famili', 'manual', 'address', 'threat', 'internet', 'addit', 'provid', 'supplement', 'inform', 'sexual', 'exploit', 'african', 'union', 'also', 'adopt', 'africa', 'cyber', 'secur', 'convent', 'highlight', 'way', 'address', 'child', 'pornographi', 'region']","{'inform', 'internet', 'cyber', 'develop', 'secur'}",Y
86,The latest international agreement  that secures children’s rights is  the commitment made by world  leaders to achieve the Sustainable  Development Goals (SDGs).,"['latest', 'intern', 'agreement', 'secur', 'children', 'right', 'commit', 'made', 'world', 'leader', 'achiev', 'sustain', 'develop', 'goal', 'sdg']","{'secur', 'develop', 'intern'}",Y
87,"The SDGs are a set of  17 goals  and 169 targets that guide global  efforts to end poverty, fight   7  For more details see, WSIS+10 High Level Event Outcome Documents available at http://www.itu.int/net/wsis/implementation/2014/forum/inc/doc/      8  http://www.ecpat.net/sites/default/files/ECPATWCIIIReport_FINAL.pdf  outcome/362828V2E.pdf    Guidelines for Children and Young People8  www.itu.int/copGuidelines for Children and Young People9  Case Study: Children and Young People’s Voices9  The World Congress III against Sexual Exploitation of  Children and Adolescents took place in Rio de Janeiro, Brazil, from 25 to 28 November 2008.","['sdg', 'set', 'goal', 'target', 'guid', 'global', 'effort', 'end', 'poverti', 'fight', 'detail', 'see', 'high', 'level', 'event', 'outcom', 'document', 'avail', 'http', 'http', 'guidelin', 'children', 'young', 'peopl', 'children', 'young', 'peopl', 'case', 'studi', 'children', 'young', 'peopl', 'world', 'congress', 'iii', 'sexual', 'exploit', 'children', 'adolesc', 'took', 'place', 'rio', 'de', 'janeiro', 'brazil', 'novemb']",set(),N
88,"There were 3,500 participants including 300 adolescents – 150 of which were from foreign countries.","['particip', 'includ', 'adolesc', 'foreign', 'countri']",{'includ'},Y
89,"It concluded with an outcome document called the “Rio de Janeiro Declaration to Prevent and Stop Sexual Exploitation of  Children and  Adolescents”, which contains the “Adolescent Declaration to End Sexual Exploitation”.","['conclud', 'outcom', 'document', 'call', 'rio', 'de', 'janeiro', 'declar', 'prevent', 'stop', 'sexual', 'exploit', 'children', 'adolesc', 'contain', 'adolesc', 'declar', 'end', 'sexual', 'exploit']",set(),N
90,"Here are some of  the key messages from children and young  people to the world:  We the children of  the world  commend the Government of  Brazil  and the other governments and  responsible agencies for giving us  the children, the present and future  of  the world, a voice at this World  Congress III ... 7.","['key', 'messag', 'children', 'young', 'peopl', 'world', 'children', 'world', 'commend', 'govern', 'brazil', 'govern', 'respons', 'agenc', 'give', 'us', 'children', 'present', 'futur', 'world', 'voic', 'world', 'congress', 'iii']",set(),N
91,"We are at this moment calling  for governmental actions to  effectuate laws and policies that  redound to the benefit, protection  and well-being of  children both  on the local and international level.","['moment', 'call', 'government', 'action', 'effectu', 'law', 'polici', 'redound', 'benefit', 'protect', 'children', 'local', 'intern', 'level']",{'intern'},Y
