No.,Sentence,StemWords,MatchWords,Use
101,: CYBERSECURITY FOR CRITICAL INFRASTRUCTURES  855  Fig.,"['cybersecur', 'critic', 'infrastructur', 'fig']",{'cybersecur'},Y
102,1.,[],set(),N
103,Proposed SCADA Security Framework: RAIM Framework.,"['propos', 'scada', 'secur', 'framework', 'raim', 'framework']",{'secur'},Y
104,Understanding of the mission impact facilitates analytical eval- uation of the interdependences among infrastructures that can hinder the effectiveness of attack modeling [65].,"['understand', 'mission', 'impact', 'facilit', 'analyt', 'uation', 'interdepend', 'among', 'infrastructur', 'hinder', 'effect', 'attack', 'model']",set(),N
105,"Analysis of the economic impact helps to identify the appropriate measures that mitigate risks at pivotal network nodes [66], [67].","['analysi', 'econom', 'impact', 'help', 'identifi', 'appropri', 'measur', 'mitig', 'risk', 'pivot', 'network', 'node']","{'measur', 'network'}",Y
106,Fig.,['fig'],set(),N
107,"1 shows the proposed security SCADA framework, which encompasses four key components: 1) real-time moni- toring; 2) anomaly detection; 3) impact analysis; and 4) miti- gation strategies (RAIM).","['show', 'propos', 'secur', 'scada', 'framework', 'encompass', 'four', 'key', 'compon', 'tore', 'anomali', 'detect', 'impact', 'analysi', 'gation', 'strategi', 'raim']",{'secur'},Y
108,Each of the key components will be elaborated next.,"['key', 'compon', 'elabor', 'next']",set(),N
109,"A. Real-Time Monitoring  A variety of information networks are interconnected to the electric power grid for the purposes of sensing, monitoring, and control [68], [69].","['monitor', 'varieti', 'inform', 'network', 'interconnect', 'electr', 'power', 'grid', 'purpos', 'sens', 'monitor', 'control']","{'control', 'network', 'inform'}",Y
110,These information networks are closely asso- ciated with the SCADA system.,"['inform', 'network', 'close', 'ciat', 'scada', 'system']","{'network', 'inform'}",Y
111,"The environment of a SCADA system involves a control center, intelligent electronic devices (IEDs) at substations, distributed sensors that measure electrical and other quantities on the network, and a variety of communi- cation links between the control center and substations.","['environ', 'scada', 'system', 'involv', 'control', 'center', 'intellig', 'electron', 'devic', 'i', 'substat', 'distribut', 'sensor', 'measur', 'electr', 'quantiti', 'network', 'varieti', 'cation', 'link', 'control', 'center', 'substat']","{'network', 'measur', 'control', 'devic'}",Y
112,"These communication links are wireline circuits, microwave channels, or power-line carrier channels.","['commun', 'link', 'wirelin', 'circuit', 'microwav', 'channel', 'carrier', 'channel']",set(),N
113,"As mentioned, the data acquired through the SCADA system are utilized in the EMS for a wide range of system operation and real-time control functions.","['mention', 'data', 'acquir', 'scada', 'system', 'util', 'em', 'wide', 'rang', 'system', 'oper', 'control', 'function']",{'control'},Y
114,"Denial-of-service (DoS) attacks are among the most detri- mental, which affect computer and communication perfor- mance through resource exhaustion in terms of compute cycles, buffers, and communication bandwidth [69].","['do', 'attack', 'among', 'mental', 'affect', 'comput', 'commun', 'manc', 'resourc', 'exhaust', 'term', 'comput', 'cycl', 'buffer', 'commun', 'bandwidth']",set(),N
115,"A typical  resource exhaustion attack, such as a packet ?ooding attack, involves compromised machines sending a large number of spurious packets to a target server(s) and/or network, which is the potential victim.","['typic', 'resourc', 'exhaust', 'attack', 'packet', 'ood', 'attack', 'involv', 'compromis', 'machin', 'send', 'larg', 'number', 'spuriou', 'packet', 'target', 'server', 'network', 'potenti', 'victim']",{'network'},Y
116,"In addition, there have been large-scale worm propagation activities in recent years that consume a signi?cant amount of compute and network resources, causing disruptions to information infrastructure systems.","['addit', 'worm', 'propag', 'activ', 'recent', 'year', 'consum', 'signi', 'cant', 'amount', 'comput', 'network', 'resourc', 'caus', 'disrupt', 'inform', 'infrastructur', 'system']","{'network', 'inform'}",Y
117,DoS attacks have evolved to distributed forms [70].,"['do', 'attack', 'evolv', 'distribut', 'form']",set(),N
118,Building a norm pro?le is essential to detect various ?ooding attacks by identifying the changes from normal activities.,"['build', 'norm', 'pro', 'le', 'essenti', 'detect', 'variou', 'ood', 'attack', 'identifi', 'chang', 'normal', 'activ']",set(),N
119,Information and commu- nication infrastructures that are integral parts of the electric power system are not exempt from this potential trend and the consequences.,"['inform', 'nicat', 'infrastructur', 'integr', 'part', 'electr', 'power', 'system', 'exempt', 'potenti', 'trend', 'consequ']",{'inform'},Y
120,"In fact, these issues are more pronounced in critical infrastructure systems due to the legacy nature of the information/communication technologies used therein and the catastrophic nature of the consequences.","['fact', 'issu', 'pronounc', 'critic', 'infrastructur', 'system', 'due', 'legaci', 'natur', 'technolog', 'use', 'therein', 'catastroph', 'natur', 'consequ']",{'technolog'},Y
121,"For example, a DoS attack on power infrastructure elements such as the substation, control center, or the communication network can have a serious effect on the SCADA system and the associ- ated critical functions.","['exampl', 'do', 'attack', 'power', 'infrastructur', 'element', 'substat', 'control', 'center', 'commun', 'network', 'seriou', 'effect', 'scada', 'system', 'ate', 'critic', 'function']","{'control', 'network'}",Y
